encabezado,enlace,fuente,fecha,clase
¿Cómo se contagia el coronavirus que activó las alertas en China?,https://www.la-prensa.com.mx/mundo/como-se-contagia-el-coronavirus-que-activo-las-alertas-en-china-4730347.html,laprensa,21-01-2020,1
Temor por coronavirus contagia bolsas mundiales,https://www.la-prensa.com.mx/finanzas/temor-por-coronavirus-contagia-bolsas-mundiales-china-acciones-europeas-4732563.html,laprensa,21-01-2020,1
Cronología del coronavirus: ¿cuándo se reportó la primera alerta?,https://www.eluniversal.com.mx/mundo/cronologia-del-coronavirus-cuando-se-reporto-la-primera-alerta,universal,22-01-2020,1
Coronavirus llega a EU; refuerzan los controles,https://www.eluniversal.com.mx/mundo/coronavirus-llega-eu-refuerzan-los-controles,universal,22-01-2020,0
Ssa: México está listo para detectar nuevo coronavirus,https://www.eluniversal.com.mx/nacion/ssa-mexico-esta-listo-para-detectar-nuevo-coronavirus,universal,22-01-2020,0
Corea del Norte cierra su frontera con China por nuevo coronavirus,https://www.eluniversal.com.mx/mundo/corea-del-norte-cierra-su-frontera-con-china-por-nuevo-coronavirus,universal,22-01-2020,0
"Identificados, dos probables casos de coronavirus en México: AMLO",https://www.eluniversal.com.mx/nacion/la-mananera-identificados-dos-probables-casos-de-coronavirus-en-mexico-amlo,universal,22-01-2020,0
"Wuhan, epicentro del virus, se aísla para contener la epidemia",https://www.eluniversal.com.mx/mundo/wuhan-epicentro-de-coronavirus-se-aisla-para-contener-la-epidemia,universal,22-01-2020,1
Aumenta a 17 la cifra de muertos en China por nuevo coronavirus,https://www.eluniversal.com.mx/mundo/aumenta-17-la-cifra-de-muertos-en-china-por-nuevo-coronavirus,universal,22-01-2020,1
Hong Kong anuncia primer caso del nuevo coronavirus,https://www.eluniversal.com.mx/mundo/hong-kong-anuncia-primer-caso-del-coronavirus-o-virus-de-wuhan,universal,22-01-2020,0
"""Contagia"" el coronavirus a los memes",https://www.eluniversal.com.mx/mundo/virus-de-wuhan-contagia-el-coronavirus-los-memes,universal,22-01-2020,1
¿Los Simpson predijeron el brote del nuevo coronavirus?,https://www.eluniversal.com.mx/mundo/los-simpson-predijeron-el-brote-del-nuevo-coronavirus,universal,22-01-2020,1
"En Wuhan, epicentro del coronavirus, el miedo aumentó ante la epidemia",https://www.eluniversal.com.mx/mundo/en-wuhan-epicentro-del-coronavirus-el-miedo-aumento-ante-la-epidemia,universal,22-01-2020,1
"OMS ha declarado 5 emergencias globales, ¿El coronavirus será la próxima?",https://www.eluniversal.com.mx/ciencia-y-salud/coronavirus-wuhan-oms-ha-declarado-5-emergencias-globales-esta-cepa-sera-la-proxima,universal,22-01-2020,1
Tamaulipas activa protocolo de bioseguridad por caso sospechoso de coronavirus,https://www.eluniversal.com.mx/video/estados/tamaulipas-activa-protocolo-de-bioseguridad-por-caso-sospechoso-de-coronavirus,universal,22-01-2020,0
La cronología del coronavirus chino que amenaza al mundo,https://www.eluniversal.com.mx/ciencia-y-salud/coronavirus-wuhan-cronologia-del-virus-que-amenaza-al-mundo,universal,22-01-2020,1
"Por coronavirus, suspenden clasificatorio de boxeo para Tokio 2020",https://www.eluniversal.com.mx/universal-deportes/mas-deportes/tokio-2020-por-coronavirus-suspenden-clasificatorio-de-boxeo,universal,22-01-2020,0
Investigan posible caso de coronavirus en Colombia; descartan uno en Brasil,https://www.eluniversal.com.mx/mundo/coronavirus-investigan-posibles-casos-en-brasil-y-colombia,universal,22-01-2020,0
Nueva York en alerta tras detección de primer caso de virus Wuhan en EU,https://www.eluniversal.com.mx/mundo/virus-wuhan-new-york-en-alerta-tras-deteccion-de-primer-caso-en-eu,universal,22-01-2020,1
Coronavirus sacude mercados financieros y genera temor en economía mundial,https://www.eluniversal.com.mx/cartera/coronavirus-genera-temor-en-economia-mundial,universal,22-01-2020,1
Estas son las enfermedades que causaron alarma mundial antes del coronavirus en China,https://www.eluniversal.com.mx/video/mundo/estas-son-las-enfermedades-que-causaron-alarma-mundial-antes-del-coronavirus-en-china,universal,22-01-2020,1
"IPN confirma enfermedad respiratoria de profesor que viajó a Wuhan, China",https://www.eluniversal.com.mx/nacion/ipn-confirma-enfermedad-respiratoria-de-profesor-que-viajo-wuhan-china,universal,22-01-2020,0
"¿Quién es José Luis Alomía, el vocero de México ante el coronavirus?",https://www.eluniversal.com.mx/nacion/politica/quien-es-jose-luis-alomia-el-vocero-de-mexico-ante-el-coronavirus,universal,22-01-2020,0
¿Qué significa la palabra coronavirus?,https://www.eluniversal.com.mx/cultura/letras/que-significa-la-palabra-coronavirus,universal,22-01-2020,0
SSa llama a no discriminar a personas asiáticas por coronavirus,https://www.eluniversal.com.mx/nacion/sociedad/ssa-no-discriminar-personas-asiaticas-por-coronavirus,universal,22-01-2020,0
Profesor del IPN mantuvo contacto con 2 personas a su regreso de China,https://www.eluniversal.com.mx/nacion/coronavirus-profesor-del-ipn-mantuvo-contacto-con-2-personas-en-china,universal,22-01-2020,0
Embajada de México en China descarta mexicanos afectados por coronavirus,https://www.eluniversal.com.mx/mundo/embajada-de-mexico-en-china-descarta-mexicanos-afectados-por-coronavirus,universal,22-01-2020,0
Wuhan se aísla para contener la epidemia del coronavirus,https://www.milenio.com/internacional/estados-unidos/wuhan-se-aisla-para-contener-la-epidemia-del-coronavirus,milenio,22-01-2020,1
AMLO alerta sobre posible caso de coronavirus en Tamaulipas,https://www.milenio.com/politica/coronavirus-mexico-amlo-alerta-caso-tamaulipas,milenio,22-01-2020,1
Bolsa mexicana gana ante menor temor sobre virus de China,https://www.milenio.com/negocios/bmv-abre-alza-menor-temor-inversionistas-virus-china,milenio,22-01-2020,1
"Profesor del IPN que viajó a China, posible portador de coronavirus en México",https://www.milenio.com/estados/coronavirus-profesor-ipn-viajo-china-portador,milenio,22-01-2020,0
Preolímpico de boxeo cambiará de sede por el coronavirus,https://www.milenio.com/deportes/boxeo/coronavirus-preolimpico-de-boxeo-cambiara-de-sede,milenio,22-01-2020,0
Preolímpico de futbol femenil se traslada por coronavirus en China,https://www.milenio.com/deportes/futbol-internacional/coronavirus-preolimpico-futbol-femenil-traslada-epidemia,milenio,22-01-2020,0
"Por alerta de coronavirus, pondrán atención en aeropuerto de Tijuana",https://www.milenio.com/negocios/tijuana-aeropuerto-tendra-atencion-por-coronavirus-de-china,milenio,22-01-2020,1
"Qué es el SARS, el virus antecedente al coronavirus",https://www.milenio.com/ciencia-y-salud/sars-que-es-y-cuales-son-sus-sintomas,milenio,22-01-2020,0
Comerciantes de Torreón alertas ante posible caso de coronavirus en México,https://www.milenio.com/negocios/coronavirus-comerciantes-en-alerta-ante-posible-caso-en-mexico,milenio,22-01-2020,1
"Posible caso de coronavirus en Reynosa, se confirmará el sábado: Salud Tamaulipas",https://www.milenio.com/salud/coronavrius-mexico-tamaulipas-pide-generar-psicosis,milenio,22-01-2020,0
Gobierno de CdMx anunciará protocolos contra coronavirus,https://www.milenio.com/politica/comunidad/coronavirus-gobierno-cdmx-anunciara-protocolos-salud,milenio,22-01-2020,0
"NL, en alerta ante posible caso de coronavirus en el país",https://www.milenio.com/politica/comunidad/nl-emite-alerta-ante-posible-caso-de-coronavirus-en-el-pais,milenio,22-01-2020,1
Lo que sabemos sobre el misterioso coronavirus chino,https://www.la-prensa.com.mx/mundo/que-es-coronavirus-china-virus-sintomas-como-se-contagia-sars-4730714.html,laprensa,22-01-2020,1
Investigan un posible caso de coronavirus en México,https://www.eluniversal.com.mx/estados/investigan-un-posible-caso-de-coronavirus-en-mexico,universal,23-01-2020,0
China aísla a Wuhan para frenar coronavirus,https://www.eluniversal.com.mx/mundo/china-aisla-wuhan-para-frenar-coronavirus,universal,23-01-2020,1
El temor al coronavirus también afectó a los mercados,https://www.eluniversal.com.mx/mundo/el-temor-al-coronavirus-tambien-afecto-los-mercados,universal,23-01-2020,1
China cierra 2 ciudades y cancela celebración de Año Nuevo en Pekín; buscan frenar coronavirus,https://www.eluniversal.com.mx/mundo/virus-de-wuhan-china-cierra-dos-ciudades-para-intentar-frenar-el-coronavirus,universal,23-01-2020,0
"Profesor del IPN en Tamaulipas, negativo al nuevo coronavirus",https://www.eluniversal.com.mx/nacion/sociedad/profesor-del-ipn-en-tamaulipas-negativo-al-nuevo-coronavirus,universal,23-01-2020,0
Ssa reporta tres nuevos casos sospechosos de coronavirus en Jalisco,https://www.eluniversal.com.mx/nacion/ssa-reporta-tres-nuevos-casos-sospechosos-de-coronavirus-en-jalisco,universal,23-01-2020,0
"Contagio y películas de zombies, ¿por qué los virus dan miedo?",https://www.eluniversal.com.mx/mundo/coronavirus-contagios-y-zombies-por-que-los-virus-dan-miedo,universal,23-01-2020,1
Singapur confirma su primera caso de neumonía de Wuhan,https://www.eluniversal.com.mx/mundo/coronavirus-singapur-confirma-su-primera-caso-de-neumonia-de-wuhan,universal,23-01-2020,0
Hospitalizan en EU a pasajero de vuelo de México por posible coronavirus,https://www.eluniversal.com.mx/mundo/coronavirus-hospitalizan-en-eu-pasajero-de-vuelo-de-mexico,universal,23-01-2020,0
Surgen mapas en Google para seguir propagación del coronavirus,https://www.eluniversal.com.mx/techbit/google-maps-propagacion-del-coronavirus,universal,23-01-2020,0
Gobierno de Canadá afirma que hay varios posibles casos de coronavirus,https://www.eluniversal.com.mx/mundo/coronavirus-canada-afirma-que-tiene-varios-posibles-casos,universal,23-01-2020,0
China informa de primera muerte por coronavirus fuera de la provincia de Hubei,https://www.eluniversal.com.mx/mundo/coronavirus-informan-de-primera-muerte-fuera-de-provincia-de-hubei,universal,23-01-2020,0
"Coronavirus de Wuhan podría haberse originado en murciélagos, apuntan recientes estudios",https://www.eluniversal.com.mx/ciencia-y-salud/coronavirus-wuhan-podria-haberse-originado-en-murcielagos-apuntan,universal,23-01-2020,0
OMS decide no declarar emergencia internacional por coronavirus,https://www.eluniversal.com.mx/mundo/oms-decide-no-declarar-emergencia-internacional-por-coronavirus,universal,23-01-2020,0
Secretaría de Salud Jalisco da seguimiento a posibles casos de coronavirus,https://www.eluniversal.com.mx/estados/secretaria-de-salud-jalisco-da-seguimiento-posibles-casos-de-coronavirus,universal,23-01-2020,0
Italia señala posible infección de coronavirus en mujer procedente de Wuhan,https://www.eluniversal.com.mx/mundo/coronavirus-investigan-un-posible-caso-en-italia,universal,23-01-2020,1
Wuhan en cuarentena: como cerrar Nueva York en Navidad,https://www.eluniversal.com.mx/mundo/coronavirus-asi-se-vive-la-cuarentena-en-la-ciudad-china-wuhan,universal,23-01-2020,1
Descartan caso de nuevo coronavirus en Yucatán,https://www.eluniversal.com.mx/estados/virus-de-wuhan-descartan-caso-de-nuevo-coronavirus-en-yucatan,universal,23-01-2020,0
Michoacán activa protocolos por probable caso de coronavirus,https://www.eluniversal.com.mx/estados/coronavirus-en-michoacan-activan-protocolos-por-probable-caso-en-morelia,universal,23-01-2020,0
Instalarán módulos médicos en Aeropuerto de Tijuana ante coronavirus,https://www.eluniversal.com.mx/cartera/instalaran-modulos-medicos-en-aeropuerto-de-tijuana-ante-coronavirus,universal,23-01-2020,0
Investigan 14 posibles casos de coronavirus en Inglaterra,https://www.eluniversal.com.mx/mundo/investigan-14-posibles-casos-de-coronavirus-en-inglaterra,universal,23-01-2020,0
Profesor que dio negativo a coronavirus agradece atención al sector salud,https://www.eluniversal.com.mx/nacion/sociedad/profesor-que-dio-negativo-coronavirus-agradece-atencion-al-sector-salud,universal,23-01-2020,0
"Coronavirus o no, el cine ha sido ""infectado"" infinidad de veces",https://www.eluniversal.com.mx/espectaculos/cine/coronavirus-o-no-el-cine-ha-sido-infectado-infinidad-de-veces,universal,23-01-2020,1
Piden a empresas prevenirse y flexibilizarse ante Coronavirus,https://www.eluniversal.com.mx/cartera/piden-empresas-prevenirse-y-flexibilizarse-ante-coronavirus,universal,23-01-2020,0
México ha investigado 7 casos sospechosos de coronavirus; dos están descartados,https://www.eluniversal.com.mx/nacion/sociedad/mexico-ha-investigado-7-casos-sospechosos-de-coronavirus-dos-estan-descartados,universal,23-01-2020,0
Bolsa mexicana cae ante el temor de propagación de virus chino,https://www.milenio.com/negocios/bmv-cae-preocupacion-propagacion-virus-china,milenio,23-01-2020,1
Alertan sobre posible caso de coronavirus en Michoacán,https://www.milenio.com/estados/coronavirus-alertan-sobre-posible-caso-en-morelia-michoacan,milenio,23-01-2020,1
"Más de 3 mil mexicanos viven en China; consulados, en alerta por nuevo coronavirus",https://www.milenio.com/politica/consulados-de-mexico-en-china-en-alerta-por-nuevo-coronavirus,milenio,23-01-2020,1
Por coronavirus Hidalgo implementa protocolo,https://www.milenio.com/ciencia-y-salud/implementan-protocolo-por-nuevo-coronavirus-en-hidalgo,milenio,23-01-2020,0
En Japón confirman segundo caso de infectado por coronavirus,https://www.milenio.com/internacional/coronavirus-en-japon-confirman-segundo-caso,milenio,23-01-2020,1
"Contagios, películas de zombies y epidemias: ¿por qué los virus dan tanto miedo?",https://www.milenio.com/ciencia-y-salud/coronavirus-miedo-virus-contagios-epidemia-zombies,milenio,23-01-2020,1
"Por coronavirus, China aísla tres ciudades",https://www.milenio.com/ciencia-y-salud/coronavirus-lleva-a-china-a-aislar-tres-de-sus-ciudades,milenio,23-01-2020,1
Emite Secretaría de Salud recomendaciones preventivas por coronavirus,https://www.milenio.com/ciencia-y-salud/emite-secretaria-salud-recomendaciones-preventivas-coronavirus,milenio,23-01-2020,0
Refuerzan medidas vs coronavirus en Jalisco,https://www.milenio.com/politica/comunidad/coronavirus-salud-jalisco-reforzara-vigilancia-epidemiologica,milenio,23-01-2020,0
Entre reproches y temor viven en Tepatitlán tras casos sospechosos de coronavirus,https://www.milenio.com/politica/comunidad/coronavirus-reproches-temor-viven-tepatitlan-casos,milenio,23-01-2020,1
Alerta por tres posibles casos de Coronavirus en Jalisco,https://www.la-prensa.com.mx/mexico/alerta-por-tres-posibles-casos-de-coronavirus-en-jalisco-4738356.html,laprensa,23-01-2020,1
OMS descarta activar alerta internacional por coronavirus,https://www.la-prensa.com.mx/mundo/oms-descarta-activar-alerta-internacional-por-coronavirus-china-4739611.html,laprensa,23-01-2020,1
China construye hospital por coronavirus; estará listo el 3 de febrero,https://www.eluniversal.com.mx/mundo/coronavirus-china-construye-hospital-estara-listo-el-3-de-febrero,universal,24-01-2020,0
"Nepal confirma caso de coronavirus, el primero en el sur de Asia ",https://www.eluniversal.com.mx/mundo/nepal-confirma-el-primer-caso-de-coronavirus-en-el-pais,universal,24-01-2020,0
Conoce las epidemias que se han originado en China,https://www.eluniversal.com.mx/mundo/estas-son-las-epidemias-que-se-han-originado-en-china,universal,24-01-2020,1
No hay razón para alarmarse por el coronavirus: titular de Salud en CDMX,https://www.eluniversal.com.mx/metropoli/cdmx/no-hay-razon-para-alarmarse-por-el-coronavirus-titular-de-salud-en-cdmx,universal,24-01-2020,0
Cronología de cómo el coronavirus ha alertado al mundo,https://www.eluniversal.com.mx/ciencia-y-salud/coronavirus-de-wuhan-cronologia-de-como-el-virus-ha-propagado-por-el-mundo,universal,24-01-2020,1
"Francia confirma dos casos de coronavirus, los primeros en Europa",https://www.eluniversal.com.mx/mundo/coronavirus-francia-confirma-dos-casos-los-primero-en-europa,universal,24-01-2020,0
Juego de apocalipsis viral lo más descargado en China por coronavirus,https://www.eluniversal.com.mx/techbit/juego-de-apocalipsis-viral-lo-mas-descargado-en-china-por-coronavirus,universal,24-01-2020,1
"¿Por qué este es el ""peor"" momento en que pudo aparecer el coronavirus en China?",https://www.eluniversal.com.mx/mundo/por-que-este-es-el-peor-momento-en-que-pudo-aparecer-el-coronavirus-en-china,universal,24-01-2020,1
¿Cuál es el tratamiento para el coronavirus?,https://www.eluniversal.com.mx/video/ciencia-y-salud/cual-es-el-tratamiento-para-el-coronavirus,universal,24-01-2020,0
Estos son los países con casos confirmados del coronavirus,https://www.eluniversal.com.mx/mundo/paises-con-casos-confirmados-del-coronavirus-de-wuhan,universal,24-01-2020,0
"Pánico por coronavirus, peor que la epidemia: Consejo Mundial de Viajes y Turismo",https://www.eluniversal.com.mx/mundo/panico-por-coronavirus-peor-que-una-epidemia-consejo-mundial-de-viajes-y-turismo,universal,24-01-2020,1
"""La cuarentena por coronavirus nos prohíbe salir”: la historia de una argentina en Wuhan",https://www.eluniversal.com.mx/mundo/coronavirus-salgo-la-calle-solo-para-comprar-comida,universal,24-01-2020,1
UNAM emite una serie de recomendaciones ante coronavirus,https://www.eluniversal.com.mx/nacion/sociedad/unam-emite-recomendaciones-la-poblacion-ante-coronavirus,universal,24-01-2020,0
Ponen módulo para informar sobre el coronavirus en Aeropuerto de Toluca,https://www.eluniversal.com.mx/metropoli/edomex/ponen-modulo-para-informar-sobre-el-coronavirus-en-aeropuerto-de-toluca,universal,24-01-2020,0
China envía casi 600 médicos a Wuhan para apoyar contra el coronavirus,https://www.eluniversal.com.mx/mundo/china-envia-casi-600-medicos-wuhan-para-apoyar-contra-el-coronavirus,universal,24-01-2020,0
China construye hospital para tratar casos de coronavirus,https://www.milenio.com/internacional/coronavirus-china-construira-hospital-emergencia-tratar-virus,milenio,24-01-2020,0
"El deporte en China, en alerta por coronavirus",https://www.milenio.com/deportes/coronavirus-el-deporte-en-china-en-alerta-por-virus,milenio,24-01-2020,1
Bolsa mexicana pierde en apertura por preocupaciones de virus chino,https://www.milenio.com/negocios/bmv-pierde-apertura-preocupaciones-virus-china,milenio,24-01-2020,1
Sector turístico mundial teme al pánico por coronavirus,https://www.milenio.com/negocios/sector-turistico-mundial-teme-panico-coronavirus-china,milenio,24-01-2020,1
BMV acumula en la semana baja de 1.48% por temores al coronavirus,https://www.milenio.com/negocios/bmv-acumula-semana-baja-1-48-temores-coronavirus,milenio,24-01-2020,1
Francia confirma tercer caso de coronavirus,https://www.milenio.com/internacional/coronavirus-francia-confirma-tercer-caso,milenio,24-01-2020,0
Realizan jornada de vacunación en la Central de Abasto,https://www.eluniversal.com.mx/metropoli/cdmx/realizan-jornada-de-vacunacion-en-la-central-de-abasto,universal,24-01-2020,0
Reúnen información científica de coronavirus en plataforma digital,https://www.eluniversal.com.mx/ciencia-y-salud/reunen-informacion-cientifica-de-coronavirus-en-plataforma-digital,universal,25-01-2020,0
Alarma por coronavirus pega a bolsas del mundo,https://www.eluniversal.com.mx/cartera/alarma-por-coronavirus-pega-bolsas-del-mundo,universal,25-01-2020,1
Hong Kong declara el nivel de alerta máximo debido al coronavirus,https://www.eluniversal.com.mx/mundo/hong-kong-declara-el-nivel-de-alerta-maximo-debido-al-coronavirus,universal,25-01-2020,1
Virus letal de China arriba a Europa,https://www.eluniversal.com.mx/mundo/virus-letal-de-china-arriba-europa,universal,25-01-2020,1
Coronavirus de Wuhan: cómo se compara con el SARS y qué puede aprender China de la mortífera epidemia de hace 17 años,https://www.eluniversal.com.mx/mundo/coronavirus-de-wuhan-como-se-compara-la-cepa-actual-con-el-sars,universal,25-01-2020,1
Australia detecta sus primeros cuatro casos de coronavirus,https://www.eluniversal.com.mx/mundo/australia-detecta-sus-primeros-cuatro-casos-de-coronavirus,universal,25-01-2020,0
Fallece en China doctor que atendía a pacientes del coronavirus en Wuhan,https://www.eluniversal.com.mx/mundo/fallece-en-china-doctor-que-atendia-pacientes-del-coronavirus-en-wuhan,universal,25-01-2020,0
Primer muerto en Shanghái por coronavirus,https://www.eluniversal.com.mx/mundo/primer-muerto-en-shanghai-por-coronavirus,universal,25-01-2020,1
Beijing suspende autobuses para evitar propagación de coronavirus,https://www.eluniversal.com.mx/mundo/coronavirus-beijing-suspende-autobuses-para-evitar-propagacion-de-virus,universal,25-01-2020,0
"Conade toma previsiones ante coronavirus, en víspera de los Juegos Olímpicos",https://www.eluniversal.com.mx/universal-deportes/mas-deportes/conade-toma-previsiones-ante-coronavirus-vispera-juegos-olimpicos,universal,25-01-2020,0
Disneyland en Hong Kong anuncia cierre por coronavirus,https://www.eluniversal.com.mx/mundo/disneyland-en-hong-kong-anuncia-cierre-por-coronavirus,universal,25-01-2020,0
Así se ve el coronavirus en un microscopio,https://www.milenio.com/internacional/coronavirus-publican-primeras-imagenes-de-virus,milenio,25-01-2020,0
Descartan casos de coronavirus en Jalisco,https://www.milenio.com/politica/comunidad/coronavirus-descartan-contagio-3-personas-jalisco,milenio,25-01-2020,0
[VIDEOS] Hospitales chinos acumulan muertos por coronavirus,https://www.la-prensa.com.mx/mundo/videos-hospitales-chinos-acumulan-muertos-por-coronavirus-4750640.html,laprensa,25-01-2020,1
"Suman 3 muertos tras ""inusitado"" aumento de casos de dengue en Bolivia",https://www.eluniversal.com.mx/mundo/suman-3-muertos-tras-inusitado-aumento-de-casos-de-dengue-en-bolivia,universal,25-01-2020,1
Líder chino alerta que avance del virus “se acelera”,https://www.eluniversal.com.mx/mundo/lider-chino-alerta-que-avance-del-virus-se-acelera,universal,26-01-2020,1
Mexicano que solicitó salir de Wuhan recibe apoyo de embajadas,https://www.eluniversal.com.mx/mundo/coronavirus-mexicano-que-solicito-salir-de-wuhan-recibe-apoyo-de-embajadas,universal,26-01-2020,0
Alerta máxima,https://www.milenio.com/opinion/javier-garcia-bejos/ekos/alerta-maxima,milenio,26-01-2020,1
"Por coronavirus, consulado y embajada están muy activos en China: Ebrard",https://www.milenio.com/politica/coronavirus-consulado-embajada-activos-china-ebrard,milenio,26-01-2020,0
"Por coronavirus, mexicano busca salir de Wuhan;""prefiero estar vivo""",https://www.milenio.com/politica/comunidad/coronavirus-mexicano-wuhan-pide-ayuda-salir,milenio,26-01-2020,1
"Confirman nuevos casos de coronavirus en Canadá, Camboya y Australia",https://www.eluniversal.com.mx/mundo/nuevos-casos-de-coronavirus-de-wuhan-en-canada-camboya-y-australia,universal,27-01-2020,0
Gobierno emite recomendaciones para mexicanos en Shanghái por coronavirus,https://www.eluniversal.com.mx/mundo/coronavirus-emiten-recomendaciones-para-mexicanos-en-shanghai,universal,27-01-2020,0
Mexicanos en Wuhan están en buen estado de salud: SRE,https://www.eluniversal.com.mx/nacion/coronavirus-mexicanos-en-wuhan-estan-en-buen-estado-de-salud-sre,universal,27-01-2020,0
"EU pide a sus ciudadanos ""reconsiderar viajar a China"" por coronavirus",https://www.eluniversal.com.mx/mundo/coronavirus-eu-aumenta-alerta-de-viaje-china-por-virus-de-wuhan,universal,27-01-2020,0
¿Cuál es la diferencia entre pandemia y epidemia?,https://www.eluniversal.com.mx/ciencia-y-salud/cual-es-la-diferencia-entre-pandemia-y-epidemia,universal,27-01-2020,0
